client_id,assigned_user_id,title,name_as_per_id,gender,date_of_birth,age,smoker_status,race,marital_status,qualification,nationality,singapore_pr,id_type,id_no,id_expiry_date,fin_no,fin_expiry_date,languages_spoken,languages_written,email,mobile_no,home_no,office_no,occupation,employment_status,address_type,postal_district,house_block_no,street_name,building_name,unit_no,risk_profile,last_updated
38342a43-0352-4836-9596-dd6bde6dac23,8bbe0782-82b8-47d3-8eae-c704122bb281,Mrs.,Michelle Jones,Female,1963-07-08,62,Non-smoker,Caucasian,Single,Bachelors,Singaporean,No,NRIC,K0646619T,,,,{English},{English},michelle.jones@yahoo.com,86215968,,67562357,Doctor,Full-time,Local,678460,9790,Watts Coves,Garden Heights,#07-69,Level 3,2026-02-22
dcd28f09-bb93-41e7-a3af-b5eee143fe43,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Ms.,Brenda Ramos,Female,1949-12-16,76,Non-smoker,Indian,Widowed,Bachelors,Singaporean,No,NRIC,M0930986F,,,,{English},{English},brenda.ramos@hotmail.com,80488919,,66395084,Business Owner,Full-time,Overseas,920574,879,Schroeder Squares,Garden Heights,#14-94,Level 2,2026-03-03
5e253878-0991-4149-ab3d-90115a51e51a,8bbe0782-82b8-47d3-8eae-c704122bb281,Ms.,Lisa Goodwin,Female,1970-11-24,55,Smoker,Others,Widowed,Masters,Singaporean,No,NRIC,N1834107H,,,,"{Cantonese,English,Mandarin}","{English,Mandarin}",lisa.goodwin@hotmail.com,88884702,,62675093,Unemployed,Unemployed,Local,126467,275,Rogers Flat,Smith Point,#36-52,Level 3,2025-09-18
cb0ed15a-7d3a-43c6-a2a0-cfb4aed038e0,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mrs.,Courtney Bowman,Female,1966-07-13,59,Non-smoker,Malay,Single,A-Levels,Singaporean,No,NRIC,L5382524O,,,,{Malay},{Malay},courtney.bowman@gmail.com,83044328,65303596,,Unemployed,Unemployed,Local,382269,4422,Hatfield Port,Sky Towers,#07-44,Level 2,2026-02-16
9e2afb83-7e81-4cb7-a322-ecc868a2a0b8,3770f878-1cb9-432b-8fec-135dca096f63,Mr.,Dale Arnold,Male,1987-03-14,39,Non-smoker,Malay,Single,O-Levels,Singaporean,No,NRIC,E8333678I,,,,"{English,Malay}","{English,Malay}",dale.arnold@gmail.com,81972614,66076786,65906024,Software Engineer,Full-time,Local,635612,63070,Jeffrey Meadow,Osborne Residences,#45-40,Level 3,2025-10-31
dda67e55-a8ed-4c43-bcd3-8c9cc6769873,4fe8c159-878f-4556-b391-1af37d040a01,Mrs.,Daisy Garrett,Female,1978-04-06,48,Non-smoker,Others,Married,A-Levels,Singaporean,No,NRIC,B5595562W,,,,"{Cantonese,English,Mandarin}",{English},daisy.garrett@gmail.com,85774053,,61438170,Teacher,Part-time,Local,668083,8464,Lee Hill,Silver View,#37-62,Level 3,2026-02-01
708b9ad6-a24c-44f6-b6d6-b76b61e95ad0,4fe8c159-878f-4556-b391-1af37d040a01,Mrs.,Yvonne Lopez,Female,1981-09-26,44,Smoker,Indian,Divorced,Diploma,Singaporean,No,NRIC,P7778923C,,,,{English},{English},yvonne.lopez@gmail.com,85166818,61286164,,Software Engineer,Part-time,Overseas,630636,288,Leslie Mountain,River Point,#32-52,Level 2,2026-03-01
9316b44b-325e-4ef4-b361-677d81aa46ce,20a4bde5-b3dc-4d3e-9838-30efc71ae755,Mr.,Duane Olsen,Male,1984-05-06,41,Non-smoker,Caucasian,Widowed,Masters,Singaporean,No,NRIC,I8346038X,,,,"{English,Tamil}","{English,Tamil}",duane.olsen@gmail.com,88244344,,,Student,Student,Local,907747,639,Keith Gateway,Miles View,#25-52,Level 3,2026-02-23
a83153cb-6336-4cba-9697-82dc39ef99fc,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mr.,Gerald Webb,Male,1956-05-05,69,Non-smoker,Malay,Married,Masters,Chad,Yes,NRIC,W3795909Z,,,,"{English,Tamil}",{English},gerald.webb@hotmail.com,85719404,,,Consultant,Full-time,Local,447220,51488,Gillespie Lights,Golden Suites,#37-52,Level 3,2025-09-12
5e92db4a-b5d5-4537-9577-2524fd6e86e8,8bbe0782-82b8-47d3-8eae-c704122bb281,Ms.,Carrie Harvey,Female,1998-11-11,27,Non-smoker,Malay,Divorced,Bachelors,Saint Vincent and the Grenadines,Yes,NRIC,Y1711609D,,,,{English},{English},carrie.harvey@hotmail.com,89947802,,,Doctor,Full-time,Local,416883,20515,Perry Ridges,River Heights,#29-68,Level 2,2026-01-12
8c255b17-5844-426d-8ea4-f0998f5729ce,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Ms.,Lisa Oliver,Female,1962-08-30,63,Smoker,Others,Divorced,PhD,Singaporean,No,NRIC,E9038343O,,,,"{Cantonese,Hokkien,Malay}",{Malay},lisa.oliver@gmail.com,81829977,,,Unemployed,Unemployed,Overseas,216563,1111,Cook Mountains,Royal Heights,#20-56,Level 2,2026-03-02
fe3c0901-ce3d-4402-bc53-71aabad3c30e,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mrs.,Valerie Greene,Female,2000-06-16,25,Non-smoker,Caucasian,Widowed,None,Singaporean,No,NRIC,T7086437T,,,,"{English,Hokkien}",{English},valerie.greene@hotmail.com,89640838,,,Lawyer,Full-time,Local,894863,486,Richard Curve,Goodwin Gardens,#48-04,Level 3,2025-05-28
0454de64-a06e-44ff-8577-79359bc7758a,8bbe0782-82b8-47d3-8eae-c704122bb281,Mr.,David Lewis,Male,1967-07-09,58,Non-smoker,Chinese,Divorced,PhD,Singaporean,No,NRIC,R6849072Z,,,,{English},{English},david.lewis@yahoo.com,82081226,,,Lawyer,Freelance,Local,111197,48569,Moran Points,High Heights,#33-11,Level 2,2026-01-19
a7268584-f6a8-46cd-bbe0-1f43c66835dc,3770f878-1cb9-432b-8fec-135dca096f63,Ms.,Kelly Martinez,Female,1967-01-15,59,Non-smoker,Chinese,Single,O-Levels,Japan,No,Passport,O6505544A,2034-03-10,J1641396W,2027-07-22,"{Cantonese,English,Malay}",{Malay},kelly.martinez@gmail.com,84544319,66801436,,Teacher,Full-time,Local,588397,995,Donald Crescent,Park View,#44-34,Level 3,2026-03-24
c186404b-5e70-4220-9c9f-eaa52b7fc28e,20a4bde5-b3dc-4d3e-9838-30efc71ae755,Mr.,James Chavez,Male,2004-06-28,21,Non-smoker,Caucasian,Married,O-Levels,Singaporean,No,NRIC,G3508038Y,,,,"{English,Hokkien,Tamil}",{English},james.chavez@hotmail.com,84898946,67126334,,Student,Student,Local,967070,443,Tucker Cove,Johnson Residences,#14-58,Level 4,2025-12-26
b68453ee-4b8b-46d2-95a9-819f653b67e6,3770f878-1cb9-432b-8fec-135dca096f63,Ms.,Catherine Olsen,Female,1960-09-02,65,Non-smoker,Caucasian,Single,Bachelors,Eritrea,No,Passport,K2507838S,2030-08-16,K2500936C,2027-08-01,{English},{English},catherine.olsen@hotmail.com,82283122,68967117,,Teacher,Full-time,Overseas,547503,45983,Robert Ranch,Marsh View,#34-73,Level 3,2025-09-22
8eb214a3-7752-4c2b-96da-26311aa08011,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mr.,Daniel Jones,Male,2000-07-06,25,Smoker,Malay,Married,Diploma,Singaporean,No,NRIC,A2009381E,,,,"{Hokkien,Mandarin}",{Mandarin},daniel.jones@hotmail.com,89070513,,,Lawyer,Full-time,Local,185694,101,Brian Overpass,Ocean Plaza,#49-53,Level 2,2026-03-29
726403d9-7fcf-43f3-8f2e-a5356988c531,20a4bde5-b3dc-4d3e-9838-30efc71ae755,Ms.,Cynthia Williams,Female,1982-06-01,43,Non-smoker,Malay,Widowed,A-Levels,Singaporean,No,NRIC,F8643648P,,,,"{English,Malay,Tamil}","{Malay,Tamil}",cynthia.williams@gmail.com,82495150,67880615,,Retired,Retired,Overseas,748750,67857,Amy Overpass,Grand Gardens,#19-49,Level 4,2025-10-23
e18bffee-7785-4eaa-84fd-55eda3f36431,3770f878-1cb9-432b-8fec-135dca096f63,Mr.,Brandon Sandoval,Male,1958-03-31,68,Non-smoker,Indian,Married,A-Levels,Taiwan,Yes,NRIC,G4146933A,,,,{English},{English},brandon.sandoval@yahoo.com,87669045,62253704,,Consultant,Full-time,Local,412873,048,Mary Parkways,Green View,#35-09,Level 3,2026-01-23
efe03db4-d746-4974-8925-0f5a9e35cf68,8bbe0782-82b8-47d3-8eae-c704122bb281,Ms.,Heather Riggs,Female,2002-12-15,23,Non-smoker,Indian,Divorced,Bachelors,Singaporean,No,NRIC,J0560315E,,,,"{English,Hokkien,Mandarin}",{Mandarin},heather.riggs@yahoo.com,89721086,67780935,,Artist,Full-time,Local,429555,1364,Reed Key,Johnson Suites,#02-20,Level 2,2025-12-21
2666e785-be8e-466b-8151-1fc05403f1d9,8bbe0782-82b8-47d3-8eae-c704122bb281,Mr.,Dylan Mccarthy,Male,1985-02-09,41,Non-smoker,Malay,Married,O-Levels,Singaporean,No,NRIC,X8666359X,,,,{English},{English},dylan.mccarthy@hotmail.com,87244265,,60197284,Teacher,Full-time,Local,324635,395,Carl Landing,River Towers,#08-06,Level 3,2026-01-29
1f516996-57be-4f8a-9a17-7aa040ce855a,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mr.,Mark Moody,Male,1949-12-02,76,Smoker,Malay,Widowed,A-Levels,Singaporean,No,NRIC,H7478264I,,,,"{English,Hokkien}",{English},mark.moody@yahoo.com,80544466,67193184,,Retired,Retired,Local,241291,2012,Reed Stravenue,Park Plaza,#49-31,Level 2,2026-01-27
749038a9-0b00-48ff-b9c2-1512bea1b32f,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mr.,Caleb Butler,Male,1955-03-13,71,Non-smoker,Malay,Divorced,PhD,Singaporean,No,NRIC,G2865257W,,,,"{English,Hokkien,Tamil}","{English,Tamil}",caleb.butler@gmail.com,81488618,69377868,60178550,Business Owner,Full-time,Local,751720,688,Paul Vista,Atkins Point,#21-82,Level 2,2025-12-10
3c82bc5d-d68c-400a-8da1-e1c0bbe6958c,4fe8c159-878f-4556-b391-1af37d040a01,Mrs.,Donna Lewis,Female,1979-08-24,46,Smoker,Chinese,Single,O-Levels,Singaporean,No,NRIC,F9002423L,,,,"{Hokkien,Malay}",{Malay},donna.lewis@hotmail.com,80937373,62562823,,Retired,Retired,Local,846946,237,Mcdonald Crest,Silver Residences,#32-46,Level 2,2026-02-21
0905d0a8-0144-4886-9678-7085d8a8e1b2,3770f878-1cb9-432b-8fec-135dca096f63,Ms.,Tiffany Cameron,Female,1945-10-21,80,Smoker,Malay,Married,Diploma,Saint Pierre and Miquelon,No,Passport,Q5181853A,2033-07-15,S6251423X,2027-06-13,"{English,Malay,Tamil}",{Tamil},tiffany.cameron@yahoo.com,81820591,62298464,,Retired,Retired,Local,009032,6832,Robert Mission,Parks Gardens,#37-56,Level 3,2025-10-25
f0fb66a0-5e32-4e43-b49d-a9d8972a3191,20a4bde5-b3dc-4d3e-9838-30efc71ae755,Mr.,Brandon Brown,Male,2005-01-08,21,Non-smoker,Chinese,Married,PhD,Singaporean,No,NRIC,U5017178H,,,,"{English,Hokkien,Tamil}",{Tamil},brandon.brown@hotmail.com,80456579,,65690692,Unemployed,Unemployed,Local,989675,29221,Lloyd Corner,Serrano Residences,#17-36,Level 3,2026-03-22
1d80a08c-0f5d-462f-a864-1e9747f0d723,8bbe0782-82b8-47d3-8eae-c704122bb281,Mr.,James Gomez,Male,1974-11-29,51,Non-smoker,Others,Divorced,Masters,Singaporean,No,NRIC,C4622947F,,,,"{Cantonese,English}",{English},james.gomez@gmail.com,87697316,68843703,,Student,Student,Local,365137,2472,Nicholas Mountain,River View,#16-88,Level 2,2026-02-08
2d576e05-4fec-4612-acc6-a99ab30054be,4fe8c159-878f-4556-b391-1af37d040a01,Mrs.,Stephanie Caldwell,Female,1993-12-18,32,Non-smoker,Indian,Widowed,A-Levels,Singaporean,No,NRIC,Q8703811S,,,,"{Hokkien,Malay}",{Malay},stephanie.caldwell@yahoo.com,80146713,,,Doctor,Part-time,Local,597420,812,Johnson Greens,Regency Court,#39-66,Level 2,2025-11-29
8ddc578c-6163-4aea-8616-322879680076,3770f878-1cb9-432b-8fec-135dca096f63,Ms.,Christine Williams,Female,1966-03-20,60,Non-smoker,Malay,Widowed,PhD,Singaporean,No,NRIC,W1223770B,,,,{English},{English},christine.williams@hotmail.com,86867373,66448324,,Artist,Full-time,Local,541937,2393,Lutz Cliffs,Regency Plaza,#01-34,Level 3,2025-11-11
