family_member_id,client_id,family_member_name,gender,relationship,date_of_birth,age,monthly_upkeep,support_until_age,last_updated
3324eab5-69b3-4653-bf83-74f4eba06dea,0905d0a8-0144-4886-9678-7085d8a8e1b2,Robert Jones,Male,Spouse,1950-05-25,75,0,,2025-10-25
1eac900f-72f7-44ec-8946-6fc7c1cce394,0905d0a8-0144-4886-9678-7085d8a8e1b2,Samuel Jones,Male,Child,1980-08-12,45,300,21.0,2025-10-25
f9832dba-514e-4d49-a5ff-c85d3e1a9d96,0905d0a8-0144-4886-9678-7085d8a8e1b2,Samantha Jones,Female,Child,1971-05-17,54,300,25.0,2025-10-25
e345ee5b-e325-474d-a77e-f867ba8b00f9,f0fb66a0-5e32-4e43-b49d-a9d8972a3191,Rachael Austin,Female,Spouse,2003-05-24,22,0,,2026-03-22
4de792a0-db63-45d3-8c98-ed96a37fa871,1d80a08c-0f5d-462f-a864-1e9747f0d723,Abigail Gomez,Female,Parent,1932-05-20,93,0,70.0,2026-02-08
b5e47821-ab57-4fad-853c-3f5289f0bc10,1d80a08c-0f5d-462f-a864-1e9747f0d723,Eric Gomez,Male,Parent,1939-03-24,87,300,85.0,2026-02-08
383cd10f-c643-4b6f-958f-61391f924de9,2d576e05-4fec-4612-acc6-a99ab30054be,Brandi Caldwell,Female,Child,2021-08-06,4,500,21.0,2025-11-29
9fc68f2b-6aac-4078-9c5b-3ea0f9f22fe0,2d576e05-4fec-4612-acc6-a99ab30054be,Hailey Caldwell,Female,Child,2019-06-09,6,400,21.0,2025-11-29
1592b7df-bf76-4bfd-9513-615dcb3ba348,2d576e05-4fec-4612-acc6-a99ab30054be,Kara Caldwell,Female,Child,2018-06-12,7,100,21.0,2025-11-29
3d1cb271-27fe-46b3-b4f9-d253420419ae,8ddc578c-6163-4aea-8616-322879680076,Christina Williams,Female,Parent,1938-01-17,88,500,70.0,2025-11-11
